InChIKey	Log2FC	Label
JXOHGGNKMLTUBP	-0.764354796	shikimic acid
BDJRBEYXGGNYIS	-1.797207133	azelaic acid
FVMDYYGIDFPZAX	2.987676444	benzeneacetic acid, 3-hydroxy-
OIVLITBTBDPEFK	0.541981995	dihydrouracil
MGJKQDOBUOMPEZ	-6.429318271	n,n'-dimethylurea
JSJWCHRYRHKBBW	0.171523848	3-ureidopropionic acid
LOAUVZALPPNFOQ	1.481687459	quinaldic acid
YPZRWBKMTBYPTK	-4.534273721	glutathione, oxidized
SUHOOTKUPISOBE	-2.772161784	2-aminoethyl dihydrogen phosphate
FSAVDKDHPDSCTO	-2.295994436	chlorfenvinphos
BBJPZPLAZVZTGR	-0.115800195	thiazafluron
NLDDIKRKFXEWBK	1.305906623	6-gingerol
RHVVRMJOHATSPD	-0.13539982	.alpha.-guanidinoglutaric acid
PFNFFQXMRSDOHW	0.032193025	spermine
YAPQBXQYLJRXSA	-5.134825582	theobromine
YGJHZCLPZAZIHH	0.911094365	n-nitrosodi-n-butylamine
