node	reaction	K01242
node	reaction	K18152
node	metabolite	SRNWOUGRCWSEMX
node	metabolite	DFPAKSUCGFBDDF
node	reaction	K03426
node	reaction	K26956
node	metabolite	DAYLJWODMCOQEW
node	reaction	K00858
node	metabolite	XJLXINKUBYWONI
node	reaction	K13240
node	reaction	K13242
node	reaction	K13241
node	reaction	K13427
node	metabolite	FQWRAVYMZULPNK
node	metabolite	ACFIXJIJDZMPPO
node	metabolite	RHGKLRLOHDJJDR
node	metabolite	MWUXSHHQAYIFBG
node	reaction	K00322
node	reaction	K00265
node	reaction	K00266
node	metabolite	PVNIIMVLHYAWGP
node	metabolite	QOTXBMGJKFVZRD
node	reaction	K00940
node	reaction	K18533
node	reaction	K01525
node	metabolite	YOAHKNVSNCMZGQ
node	reaction	K00988
node	reaction	K19710
node	reaction	K18532
node	reaction	K00939
node	reaction	K02318
node	reaction	K00859
node	metabolite	KDTSHFARGAKYJN
node	metabolite	RGJOEKWQDUBAIZ
node	reaction	K01428
node	reaction	K01430
node	reaction	K01429
node	reaction	K01427
node	reaction	K14048
node	metabolite	XSQUKJJJFZCRTK
node	reaction	K01674
node	reaction	K01672
node	reaction	K01673
node	metabolite	BVKZGUZCCUSVTD
node	reaction	K05299
node	reaction	K15022
node	metabolite	BDAGIHXWWSANSR
node	reaction	K01259
node	reaction	K11142
node	metabolite	ONIBWKKTOPOVIA
node	reaction	K06210
node	reaction	K00969
node	reaction	K13522
node	reaction	K06211
node	reaction	K00952
node	reaction	K19785
node	metabolite	RQKDPSTWKKMBPM
node	metabolite	DLHNIFPAUZVLLA
node	reaction	K19797
node	metabolite	BTIWPBKNTZFNRI
node	reaction	K05601
node	reaction	K15864
node	metabolite	AVXURJPOCDRRFD
node	reaction	K10945
node	reaction	K10944
node	reaction	K10946
node	metabolite	SQQWBSBBCSFQGC
node	reaction	K01948
node	metabolite	FFQKYPRQEYGKAF
node	reaction	K00926
node	reaction	K18282
node	metabolite	LELOWRISYMNNSU
node	reaction	K01511
node	reaction	K12304
node	reaction	K12305
node	metabolite	XCCTYIAWTASOJW
node	metabolite	DJJCXFVJDGTHFX
node	metabolite	PGAVKCOVUIYSFO
node	reaction	K00944
node	reaction	K09903
node	reaction	K13800
node	reaction	K13809
node	reaction	K18453
node	metabolite	VWWQXMAJTJZDQX
node	reaction	K11753
node	reaction	K22949
node	reaction	K14656
node	reaction	K00953
node	reaction	K13248
node	reaction	K07758
node	metabolite	NGVDGCNFYWLIFO
node	metabolite	RADKZDMFGJYCBB
node	reaction	K00868
node	reaction	K00789
node	metabolite	FFEARJCKVFRZRR
node	reaction	K01611
node	metabolite	ZUNBITIXDCPNSD
node	reaction	K01762
node	reaction	K20772
node	metabolite	PAJPWUMXBYXFCZ
node	reaction	K01490
node	metabolite	GRSZFWQUAKGDAV
node	reaction	K01241
node	reaction	K06966
node	metabolite	KTVPXOYAKDPRHY
node	metabolite	GFFGJBXGBJISGV
node	reaction	K01081
node	reaction	K02566
node	reaction	K03787
node	reaction	K08693
node	reaction	K11751
node	reaction	K19970
node	metabolite	OIRDTQYFTABQOQ
node	reaction	K01518
node	reaction	K18445
node	reaction	K26955
node	reaction	K00856
node	reaction	K01522
node	reaction	K18424
node	metabolite	QCICUPZZLIQAPA
node	reaction	K07053
node	reaction	K06881
